,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM
1995-12-01,0.040000000000000036,0.2599999999999998,0.3899999999999997,0.8399999999999999,0.21999999999999975,0.3899999999999997,1.62
1995-12-08,0.05999999999999961,0.23000000000000043,0.34000000000000075,0.7300000000000004,0.17000000000000082,0.3299999999999992,1.4499999999999993
1995-12-15,0.20000000000000018,0.40000000000000036,0.3899999999999997,0.79,0.20000000000000018,0.33999999999999986,1.4000000000000004
1995-12-22,0.45999999999999996,0.6699999999999999,0.4299999999999997,0.8399999999999999,0.20999999999999996,0.34999999999999964,1.5200000000000005
1995-12-29,0.28000000000000025,0.4800000000000004,0.40000000000000036,0.8300000000000001,0.20000000000000018,0.3799999999999999,1.5300000000000002
1996-01-05,0.22999999999999954,0.5,0.4900000000000002,0.9100000000000001,0.27000000000000046,0.35999999999999943,1.3299999999999992
1996-01-12,0.22000000000000064,0.5700000000000003,0.5800000000000001,1.0499999999999998,0.34999999999999964,0.41000000000000014,1.33
1996-01-19,0.16999999999999993,0.4400000000000004,0.5099999999999998,0.9899999999999993,0.27000000000000046,0.4299999999999997,1.4799999999999995
1996-01-26,0.22999999999999954,0.54,0.5700000000000003,1.0199999999999996,0.3100000000000005,0.3899999999999997,1.3499999999999996
1996-02-02,0.25,0.6699999999999999,0.7599999999999998,1.2599999999999998,0.41999999999999993,0.4900000000000002,1.3599999999999994
1996-02-09,0.3200000000000003,0.7300000000000004,0.8100000000000005,1.3200000000000003,0.41000000000000014,0.4500000000000002,1.3599999999999994
1996-02-16,0.40000000000000036,0.8700000000000001,0.8599999999999994,1.3699999999999992,0.46999999999999975,0.47000000000000064,1.1800000000000006
1996-02-23,0.5600000000000005,1.0,0.8399999999999999,1.37,0.4399999999999995,0.4500000000000002,1.3500000000000005
1996-03-01,0.6199999999999992,1.0099999999999998,0.7300000000000004,1.2200000000000006,0.39000000000000057,0.3899999999999997,1.42
1996-03-08,1.04,1.4000000000000004,0.6799999999999997,1.1099999999999994,0.3600000000000003,0.29000000000000004,0.9699999999999998
1996-03-15,1.0500000000000007,1.3200000000000003,0.5899999999999999,1.0300000000000002,0.2699999999999996,0.29000000000000004,1.37
1996-03-22,0.9500000000000002,1.2200000000000006,0.5800000000000001,1.0599999999999996,0.27000000000000046,0.33000000000000007,1.4899999999999993
1996-03-29,0.9699999999999998,1.21,0.5499999999999998,1.04,0.2400000000000002,0.33000000000000007,1.3500000000000005
1996-04-05,1.25,1.42,0.4800000000000004,0.9199999999999999,0.16999999999999993,0.2599999999999998,1.21
1996-04-12,1.2399999999999993,1.4499999999999993,0.5599999999999996,1.04,0.20999999999999996,0.29000000000000004,1.5300000000000011
1996-04-19,1.3100000000000005,1.5200000000000005,0.5800000000000001,1.0499999999999998,0.20999999999999996,0.2699999999999996,1.42
1996-04-26,1.1799999999999997,1.4299999999999997,0.6200000000000001,1.04,0.25,0.25,1.38
1996-05-03,1.4700000000000006,1.7600000000000007,0.7000000000000002,1.0899999999999999,0.29000000000000004,0.21999999999999975,1.0899999999999999
1996-05-10,1.3200000000000003,1.62,0.71,1.08,0.2999999999999998,0.17999999999999972,1.4900000000000002
1996-05-17,1.2599999999999998,1.5,0.6100000000000003,0.9900000000000002,0.2400000000000002,0.1899999999999995,1.4299999999999997
1996-05-24,1.2400000000000002,1.4700000000000006,0.6200000000000001,0.9799999999999995,0.23000000000000043,0.1899999999999995,1.3599999999999994
1996-05-31,1.46,1.67,0.5800000000000001,0.9000000000000004,0.20999999999999996,0.15000000000000036,1.1799999999999997
1996-06-07,1.4900000000000002,1.67,0.5299999999999994,0.8199999999999994,0.17999999999999972,0.1200000000000001,1.370000000000001
1996-06-14,1.5099999999999998,1.7400000000000002,0.6600000000000001,0.9699999999999998,0.23000000000000043,0.14999999999999947,1.4400000000000004
1996-06-21,1.4800000000000004,1.7000000000000002,0.6100000000000003,0.9000000000000004,0.21999999999999975,0.15000000000000036,1.3400000000000007
1996-06-28,1.29,1.5500000000000007,0.6200000000000001,0.9199999999999999,0.2600000000000007,0.16999999999999993,1.5599999999999987
1996-07-05,1.5100000000000007,1.75,0.6199999999999992,0.8699999999999992,0.23999999999999932,0.13000000000000078,1.080000000000001
1996-07-12,1.37,1.5699999999999994,0.5899999999999999,0.8900000000000006,0.1999999999999993,0.1800000000000006,1.5700000000000003
1996-07-19,1.2699999999999996,1.5,0.6000000000000005,0.9000000000000004,0.23000000000000043,0.1899999999999995,1.4500000000000002
1996-07-26,1.33,1.5599999999999996,0.5999999999999996,0.8700000000000001,0.22999999999999954,0.16999999999999993,1.3399999999999999
1996-08-02,1.0499999999999998,1.2999999999999998,0.5999999999999996,0.9199999999999999,0.25,0.23000000000000043,1.7200000000000006
