,1-Month Treasury Yield,3-Month Treasury Yield,2-Year Treasury Yield,5-Year Treasury Yield,10-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2007-05-24,4.99,4.91,4.85,4.79,4.86,5.09,5.0,6.06,6.37
2007-05-31,4.78,4.73,4.92,4.86,4.9,5.1,5.01,6.12,6.42
2007-06-07,4.8,4.8,5.03,5.05,5.11,5.29,5.2,6.22,6.53
2007-06-14,4.51,4.65,5.1,5.16,5.23,5.39,5.3,6.43,6.74
2007-06-21,4.17,4.7,4.98,5.06,5.16,5.36,5.28,6.37,6.69
2007-06-28,4.08,4.78,4.96,5.02,5.12,5.3,5.22,6.34,6.67
2007-07-05,4.76,4.95,4.99,5.05,5.16,5.32,5.24,6.3,6.63
2007-07-12,4.73,4.97,4.94,5.03,5.13,5.29,5.22,6.39,6.73
2007-07-19,4.78,4.98,4.87,4.94,5.04,5.2,5.12,6.38,6.73
2007-07-26,4.98,4.92,4.56,4.61,4.79,5.02,4.95,6.37,6.69
2007-08-02,5.02,4.89,4.59,4.62,4.77,5.0,4.91,6.32,6.68
2007-08-09,4.7,4.81,4.49,4.58,4.79,5.1,5.02,6.25,6.59
2007-08-16,3.13,3.79,4.08,4.26,4.6,4.99,4.92,6.3,6.62
2007-08-23,3.79,3.89,4.2,4.36,4.62,4.98,4.93,6.18,6.52
2007-08-30,3.69,3.84,4.08,4.21,4.51,4.87,4.83,6.12,6.45
2007-09-06,4.28,4.29,4.08,4.2,4.51,4.84,4.79,6.15,6.46
